Building Engine...
Starting Main Loop
         253430411 function calls (250898655 primitive calls) in 169.245 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000  169.250   84.625 main.py:1(<module>)
    241/1    0.010    0.000  169.246  169.246 {built-in method builtins.exec}
        1    0.084    0.084  168.500  168.500 main.py:119(gameloop)
     2468    0.097    0.000   79.619    0.032 render.py:160(render)
     7404    1.491    0.000   69.572    0.009 component_entity_behavior.py:313(update)
  3723709    3.712    0.000   68.079    0.000 component_entity_behavior.py:156(update)
  7440015    7.314    0.000   64.367    0.000 component_entity_behavior.py:50(update)
    12340    0.015    0.000   53.485    0.004 scene_layer.py:90(updateRenderableCoordinates)
  7440015    3.578    0.000   51.303    0.000 component_entity_behavior.py:14(update)
    12340    7.745    0.001   35.315    0.003 scene_layer.py:100(_calculateCoordinates)
  3716306    3.410    0.000   34.563    0.000 behavior_states.py:223(update)
  3716306   10.927    0.000   27.515    0.000 behavior_states.py:200(handleMovement)
     7404   10.417    0.001   20.002    0.003 render.py:45(renderImages)
     2468    6.995    0.003   18.155    0.007 scene_layer.py:110(_sort)
 22319103    9.487    0.000   17.289    0.000 {method 'get' of 'dict' objects}
  2477872    1.189    0.000   16.579    0.000 utility.py:81(calculateCoordinates)
  2477872   10.269    0.000   15.390    0.000 component_entity_sprite.py:52(calculateCoordinates)
  3716306    3.866    0.000   13.133    0.000 behavior_states.py:329(update)
     7404    1.090    0.000   12.042    0.002 component_entity_physics.py:521(update)
  3723709    3.175    0.000   10.951    0.000 component_entity_physics.py:353(update)
   785475    8.360    0.000    8.360    0.000 {method 'blit' of 'pygame.Surface' objects}
7532373/5021607    2.827    0.000    8.150    0.000 utility.py:104(getGroundPositionPx)
 18593524    5.109    0.000    7.804    0.000 enum.py:579(__hash__)
  7432612    7.485    0.000    7.521    0.000 behavior_states_base.py:66(incrementTimer)
  3723709    7.376    0.000    7.376    0.000 component_entity_physics.py:69(integrate)
  9925661    4.309    0.000    5.888    0.000 utility.py:20(isActive)
  8578768    5.871    0.000    5.871    0.000 component_scene_tilemap.py:47(calculateCoordinates)
  7445035    3.813    0.000    5.738    0.000 component_entity_behavior.py:16(updateControlInputState)
  3716306    1.624    0.000    5.383    0.000 component_entity_behavior.py:85(getStateProperty)
     2468    0.431    0.000    4.834    0.002 component_entity_sprite.py:317(update)
     4936    0.066    0.000    4.731    0.001 render.py:91(renderPanorama)
  2510766    0.997    0.000    4.715    0.000 component_entity_sprite.py:121(getGroundPositionPx)
  1238936    3.388    0.000    4.403    0.000 component_entity_sprite.py:198(update)
