         29886883 function calls (25691561 primitive calls) in 26.698 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    434/1    0.006    0.000   26.698   26.698 {built-in method builtins.exec}
        1    0.002    0.002   26.698   26.698 main.py:6(<module>)
        1    0.685    0.685   26.287   26.287 main.py:71(main)
     1453    6.433    0.004   24.557    0.017 main.py:62(Cube)
5579520/1394880    6.873    0.000   16.140    0.000 lists.py:132(asArray)
  1394880    1.909    0.000    5.810    0.000 lists.py:146(<listcomp>)
  1394880    1.408    0.000    5.767    0.000 lists.py:163(dimensions)
  1394880    1.466    0.000    4.359    0.000 lists.py:125(dims)
  2789760    1.268    0.000    1.794    0.000 lists.py:116(types)
7021735/7021734    1.687    0.000    1.687    0.000 {built-in method builtins.isinstance}
2797507/2797450    1.346    0.000    1.348    0.000 {built-in method builtins.getattr}
  1394880    0.419    0.000    0.670    0.000 ctypesarrays.py:18(from_param)
  1394880    0.485    0.000    0.651    0.000 ctypesarrays.py:65(arrayByteCount)
    536/7    0.003    0.000    0.573    0.082 <frozen importlib._bootstrap>:966(_find_and_load)
    536/7    0.002    0.000    0.573    0.082 <frozen importlib._bootstrap>:936(_find_and_load_unlocked)
    490/8    0.002    0.000    0.571    0.071 <frozen importlib._bootstrap>:651(_load_unlocked)
    418/8    0.001    0.000    0.571    0.071 <frozen importlib._bootstrap_external>:672(exec_module)
    652/8    0.000    0.000    0.570    0.071 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
    58120    0.517    0.000    0.543    0.000 exceptional.py:42(glEnd)
       17    0.001    0.000    0.434    0.026 __init__.py:1(<module>)
        1    0.246    0.246    0.410    0.410 {built-in method pygame.display.set_mode}
        1    0.297    0.297    0.297    0.297 {built-in method pygame.base.quit}
   404/52    0.001    0.000    0.282    0.005 {built-in method builtins.__import__}
  1394880    0.251    0.000    0.251    0.000 {built-in method _ctypes.byref}
        1    0.246    0.246    0.246    0.246 {built-in method pygame.base.init}
1406984/1406522    0.198    0.000    0.198    0.000 {built-in method builtins.len}
3808/2797    0.003    0.000    0.189    0.000 <frozen importlib._bootstrap>:997(_handle_fromlist)
        2    0.000    0.000    0.171    0.085 __init__.py:16(<module>)
  1394926    0.166    0.000    0.166    0.000 {built-in method _ctypes.sizeof}
        1    0.000    0.000    0.166    0.166 __init__.py:25(<module>)
        1    0.000    0.000    0.163    0.163 pkgdata.py:18(<module>)
        1    0.000    0.000    0.133    0.133 surfarray.py:61(<module>)
        1    0.000    0.000    0.133    0.133 _numpysurfarray.py:45(<module>)
        1    0.000    0.000    0.132    0.132 __init__.py:106(<module>)
    58120    0.108    0.000    0.118    0.000 exceptional.py:37(glBegin)
      418    0.003    0.000    0.114    0.000 <frozen importlib._bootstrap_external>:743(get_code)
        1    0.000    0.000    0.108    0.108 add_newdocs.py:10(<module>)
      515    0.004    0.000    0.092    0.000 <frozen importlib._bootstrap>:870(_find_spec)
      501    0.000    0.000    0.086    0.000 <frozen importlib._bootstrap_external>:1149(find_spec)
        1    0.000    0.000    0.086    0.086 type_check.py:3(<module>)
      501    0.002    0.000    0.085    0.000 <frozen importlib._bootstrap_external>:1117(_get_spec)
