3
         812471 function calls (800302 primitive calls) in 77.448 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    114/1    0.004    0.000   77.448   77.448 {built-in method builtins.exec}
        1    0.096    0.096   77.448   77.448 main.py:5(<module>)
     4629   66.368    0.014   66.368    0.014 {method 'tick' of 'Clock' objects}
     4629    5.129    0.001    5.129    0.001 {built-in method pygame.display.update}
     4629    0.007    0.000    4.357    0.001 game.py:88(render)
     4629    0.067    0.000    4.350    0.001 render.py:93(render)
     4563    0.581    0.000    4.011    0.001 render.py:149(drawDebugBoxes)
     4563    2.437    0.001    2.437    0.001 {method 'fill' of 'pygame.Surface' objects}
   483724    0.993    0.000    0.993    0.000 {built-in method pygame.draw.line}
     4629    0.007    0.000    0.570    0.000 event.py:71(handleEvents)
        1    0.000    0.000    0.554    0.554 event.py:205(runLoadLevel)
        1    0.000    0.000    0.554    0.554 game.py:35(loadLevel)
        1    0.000    0.000    0.515    0.515 render.py:50(loadAssets)
        9    0.344    0.038    0.344    0.038 {built-in method pygame.imageext.load_extended}
     4629    0.292    0.000    0.292    0.000 {built-in method pygame.event.get}
        1    0.003    0.003    0.280    0.280 render.py:836(loadAnimatedPanoramas)
    168/9    0.001    0.000    0.271    0.030 <frozen importlib._bootstrap>:966(_find_and_load)
    168/9    0.001    0.000    0.270    0.030 <frozen importlib._bootstrap>:936(_find_and_load_unlocked)
    161/9    0.001    0.000    0.268    0.030 <frozen importlib._bootstrap>:651(_load_unlocked)
    102/9    0.001    0.000    0.267    0.030 <frozen importlib._bootstrap_external>:672(exec_module)
        1    0.255    0.255    0.255    0.255 {built-in method pygame.base.init}
   218/10    0.000    0.000    0.252    0.025 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
        1    0.016    0.016    0.212    0.212 {built-in method pygame.display.set_mode}
        1    0.000    0.000    0.195    0.195 pkgdata.py:18(<module>)
        1    0.000    0.000    0.193    0.193 __init__.py:16(<module>)
        2    0.002    0.001    0.189    0.094 render.py:829(loadPanorama)
      456    0.001    0.000    0.160    0.000 render.py:713(addToRenderQueue)
 8444/438    0.159    0.000    0.159    0.000 render.py:724(boxesToAdd)
        7    0.117    0.017    0.117    0.017 {method 'convert' of 'pygame.Surface' objects}
    30/17    0.000    0.000    0.103    0.006 {built-in method builtins.__import__}
       93    0.001    0.000    0.076    0.001 re.py:286(_compile)
       87    0.000    0.000    0.075    0.001 re.py:231(compile)
       83    0.000    0.000    0.074    0.001 sre_compile.py:557(compile)
        2    0.050    0.025    0.050    0.025 {method 'convert_alpha' of 'pygame.Surface' objects}
  380/376    0.007    0.000    0.050    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.050    0.050 requirements.py:4(<module>)
      102    0.001    0.000    0.049    0.000 <frozen importlib._bootstrap_external>:743(get_code)
        1    0.000    0.000    0.047    0.047 render.py:817(loadTileMapImages)
        1    0.000    0.000    0.042    0.042 setup.py:10(soundPlayerFactory)
     9124    0.039    0.000    0.039    0.000 render.py:431(renderChangedPanorama)
        1    0.000    0.000    0.038    0.038 game_level.py:33(loadLevel)
        1    0.000    0.000    0.037    0.037 game_level.py:42(loadLevelData)
       83    0.000    0.000    0.037    0.000 sre_compile.py:542(_code)
      167    0.001    0.000    0.036    0.000 <frozen importlib._bootstrap>:870(_find_spec)
        4    0.021    0.005    0.036    0.009 sound.py:65(loadSound)
       83    0.000    0.000    0.036    0.000 sre_parse.py:844(parse)
        1    0.000    0.000    0.036    0.036 __init__.py:25(<module>)
        2    0.000    0.000    0.036    0.018 __init__.py:3002(_call_aside)
        1    0.000    0.000    0.036    0.036 __init__.py:3017(_initialize_master_working_set)
      9/8    0.000    0.000    0.036    0.005 <frozen importlib._bootstrap>:622(_load_backward_compatible)
        6    0.000    0.000    0.036    0.006 __init__.py:35(load_module)
       14    0.000    0.000    0.036    0.003 __init__.py:687(add_entry)
       18    0.001    0.000    0.035    0.002 __init__.py:1996(find_on_path)
   335/83    0.001    0.000    0.034    0.000 sre_parse.py:407(_parse_sub)
   911/83    0.007    0.000    0.034    0.000 sre_compile.py:64(_compile)
      154    0.000    0.000    0.034    0.000 <frozen importlib._bootstrap_external>:1149(find_spec)
   485/87    0.011    0.000    0.034    0.000 sre_parse.py:470(_parse)
      154    0.001    0.000    0.034    0.000 <frozen importlib._bootstrap_external>:1117(_get_spec)
     4629    0.029    0.000    0.032    0.000 input.py:40(handleInputs)
      314    0.003    0.000    0.031    0.000 <frozen importlib._bootstrap_external>:1233(find_spec)
       12    0.000    0.000    0.030    0.003 __init__.py:1970(_by_version_descending)
       12    0.002    0.000    0.030    0.003 {built-in method builtins.sorted}
        1    0.000    0.000    0.030    0.030 parser.py:5(<module>)
        1    0.000    0.000    0.029    0.029 feedparser.py:20(<module>)
  152/148    0.000    0.000    0.028    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
        2    0.000    0.000    0.027    0.014 scenery.py:96(__init__)
        1    0.000    0.000    0.027    0.027 _policybase.py:4(<module>)
        2    0.027    0.013    0.027    0.013 scenery.py:141(tilemapIndexToCoord)
      632    0.026    0.000    0.026    0.000 {built-in method nt.stat}
        4    0.000    0.000    0.025    0.006 log_errors.py:17(logError)
        1    0.000    0.000    0.025    0.025 pyparsing.py:61(<module>)
       27    0.000    0.000    0.025    0.001 pyparsing.py:2738(__init__)
      597    0.000    0.000    0.024    0.000 <frozen importlib._bootstrap_external>:75(_path_stat)
      626    0.001    0.000    0.024    0.000 __init__.py:1985(_by_version)
        4    0.024    0.006    0.024    0.006 {method 'close' of '_io.TextIOWrapper' objects}
     4629    0.023    0.000    0.023    0.000 {built-in method pygame.key.get_pressed}
    37/35    0.000    0.000    0.023    0.001 <frozen importlib._bootstrap_external>:919(create_module)
    37/35    0.021    0.001    0.023    0.001 {built-in method _imp.create_dynamic}
  239/186    0.000    0.000    0.021    0.000 <frozen importlib._bootstrap>:997(_handle_fromlist)
     4562    0.019    0.000    0.021    0.000 render.py:293(renderChangedLowerTile)
      626    0.001    0.000    0.020    0.000 __init__.py:1991(<listcomp>)
      457    0.004    0.000    0.020    0.000 render.py:141(randomBox)
        1    0.000    0.000    0.019    0.019 specifiers.py:4(<module>)
     1260    0.002    0.000    0.019    0.000 version.py:24(parse)
